numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20240301000000;100420;180;1;270;4.800000;279.050000;276.850000;86;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;99540;mq;mq;-1150;mq;mq;mq;mq;278.250000;mq;mq;7.200000;8.500000;-10;1;0.000000;mq;mq;-0.100000;1.400000;2.800000;3.200000;3.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20240301000000;100250;80;3;290;8.500000;279.350000;278.450000;94;6060;61;mq;mq;100;8;250;mq;mq;mq;99680;mq;mq;-1340;mq;mq;mq;mq;279.350000;mq;mq;14.600000;15.500000;-10;2;0.000000;mq;mq;0.800000;0.800000;0.800000;1.200000;3.000000;mq;mq;mq;mq;7;mq;270;7;mq;420;7;mq;660;mq;8;mq;
07020;20240301000000;100370;-130;8;240;10.200000;281.250000;276.850000;74;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100260;mq;mq;-960;mq;mq;mq;mq;mq;mq;mq;13.500000;15.800000;-10;mq;mq;mq;mq;0.000000;0.000000;-0.100000;7.300000;11.300000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20240301000000;100630;0;0;200;2.500000;277.250000;276.050000;92;45880;0;mq;mq;mq;1;800;mq;mq;mq;99810;mq;mq;-910;mq;mq;mq;mq;280.550000;mq;mq;3.300000;5.800000;-10;1;0.000000;mq;mq;0.000000;0.000000;1.400000;3.200000;3.600000;mq;mq;mq;mq;1;mq;870;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20240301000000;100630;140;1;240;4.800000;278.350000;277.350000;93;43740;0;mq;mq;100;8;800;mq;mq;mq;98720;mq;mq;-1040;mq;mq;mq;mq;280.250000;mq;mq;8.100000;8.100000;-10;mq;0.000000;mq;mq;0.000000;0.200000;3.000000;3.000000;7.600000;mq;mq;mq;mq;4;mq;720;8;mq;960;mq;mq;mq;mq;mq;mq;
07072;20240301000000;100410;-110;6;180;4.600000;282.950000;281.550000;91;16780;0;mq;mq;100;8;450;mq;mq;mq;99270;mq;mq;-1560;mq;mq;mq;mq;280.950000;mq;mq;8.900000;10.700000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.400000;0.400000;0.400000;mq;mq;mq;mq;7;mq;360;8;mq;540;mq;mq;mq;mq;mq;mq;
07110;20240301000000;100470;-410;8;220;10.400000;280.950000;277.150000;77;19940;0;mq;mq;100;5;800;mq;mq;mq;99290;mq;mq;-1060;mq;mq;mq;mq;275.350000;mq;mq;15.600000;15.800000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;1.600000;16.100000;mq;mq;mq;mq;2;mq;900;4;mq;1200;5;mq;1410;mq;mq;mq;
07117;20240301000000;100450;-280;8;190;5.500000;278.850000;275.150000;77;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99740;mq;mq;-1030;mq;mq;mq;mq;mq;mq;mq;9.300000;10.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;4.700000;16.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20240301000000;100920;-10;8;200;3.100000;276.750000;275.750000;93;34360;0;mq;mq;mq;0;mq;mq;mq;mq;100460;mq;mq;-790;mq;mq;mq;mq;278.150000;mq;mq;4.500000;5.500000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;5.700000;5.700000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20240301000000;100840;110;1;240;4.500000;279.050000;277.050000;87;20000;0;mq;mq;90;7;800;mq;mq;mq;99080;mq;mq;-930;mq;mq;mq;mq;281.350000;mq;mq;6.500000;6.500000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.400000;2.800000;3.600000;mq;mq;mq;mq;6;mq;600;7;mq;810;mq;mq;mq;mq;mq;mq;
